RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,SBR2,EBL,EBT,EBR,WBL,WBT,WBR,NEL2,NEL,NET,NER,SWL,SWT,SWR,PED,HOLD
Distance,22,,506,,,375,,,,300,,,808,,,,,,,,,,
TravelTime,22,,9.9,,,10.2,,,,5.1,,,13.8,,,,,,,,,,
Right Channeled,22,,,0,,,0,,,,1,,,0,,,,,,,,,
Right Radius,22,,,,,,,,,,50,,,,,,,,,,,,
Add Lanes,22,,,,,,,,,,1,,,,,,,,,,,,
Alignment,22,0,0,1,0,0,1,,0,0,1,0,0,1,,,,,,,,,
Enter Blocked,22,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,
HeadwayFact,22,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,
Turning Speed,22,15,60,9,15,60,9,,15,60,9,15,60,9,,,,,,,,,
FirstDetect,22,50,50,0,20,50,,,50,50,0,50,50,,,,,,,,,,
LastDetect,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
DetectPhase1,22,3,3,3,4,4,,,1,6,3,5,2,,,,,,,,,,
DetectPhase2,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
DetectPhase3,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
DetectPhase4,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
SwitchPhase,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
numDetects,22,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,,,
DetectPos1,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
DetectSize1,22,50,50,0,20,50,,,50,50,0,50,50,,,,,,,,,,
DetectType1,22,3,3,3,3,3,,,3,3,3,3,3,,,,,,,,,,
DetectExtend1,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
DetectQueue1,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
DetectDelay1,22,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,
Exit Lanes,22,,0,,,0,,,,0,,,0,,,,,,,,,,
CBD,22,,0,,,,,,,,,,,,,,,,,,,,
Traffic in shared lane,22,*44,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,22,62,64,20,0,10,0,,24,1334,131,38,1092,0,,,,,,,,,
Up Node,33,,,,,,,,2,2,2,4,4,4,,25,25,25,58,58,58,,
Dest Node,33,,,,,,,,58,4,25,25,2,58,,2,58,4,4,25,2,,
Lanes,33,,,,,,,,2,2,1,2,2,1,,1,2,2,1,2,1,,
Shared,33,,,,,,,,0,0,,0,0,,,0,0,,0,0,,,
Width,33,,,,,,,,12,12,12,12,12,12,,12,12,12,12,12,12,,
Storage,33,,,,,,,,300,,325,250,,230,,160,,200,135,,635,,
Taper,33,,,,,,,,25,,25,25,,25,,25,,25,25,,25,,
StLanes,33,,,,,,,,2,,1,2,,1,,1,,2,1,,1,,
Grade,33,,,,,,,,,,,,,,,,,,,,,,
Speed,33,,,,,,,,,40,,,40,,,,40,,,40,,,
Phase1,33,,,,,,,,5,2,,1,6,,,3,,1,7,4,,,
Phase2,33,,,,,,,,,,,,,,,,,9,,,,,
PermPhase1,33,,,,,,,,,,2,,,6,,8,8,8,,,4,,
PermPhase2,33,,,,,,,,,,,,,,,,9,,,,,,
LostTime,33,,,,,,,,1.5,4,4,1.9,4,4,,2.1,4,2.7,4,4,4,,
Lost Time Adjust,33,,,,,,,,-3.5,-2.6,-2.6,-3.1,-2.5,-2.5,,-2.9,-2.3,-2.3,-2.9,-2.3,-2.3,,
IdealFlow,33,,,,,,,,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,1900,,
SatFlow,33,,,,,,,,3433,3539,1583,3433,3539,1583,,1770,3539,2787,1770,3539,1583,,
SatFlowPerm,33,,,,,,,,3433,3539,1583,3433,3539,1583,,950,3539,2787,1770,3539,1583,,
Allow RTOR,33,,,,,,,,1,1,1,1,1,1,,1,1,0,1,1,1,,
SatFlowRTOR,33,,,,,,,,0,0,289,0,0,289,,0,0,0,0,0,192,,
Volume,33,,,,,,,,78,318,13,200,650,100,,28,163,80,78,372,173,,
Peds,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
Bicycles,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
PHF,33,,,,,,,,0.90,0.90,0.90,0.90,0.90,0.90,,0.90,0.90,0.90,0.90,0.90,0.90,,
Growth,33,,,,,,,,100,100,100,100,100,100,,100,100,100,100,100,100,,
HeavyVehicles,33,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,2,,
BusStops,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
Midblock,33,,,,,,,,,0,,,0,,,,0,,,0,,,
Distance,33,,,,,,,,,1272,,,1377,,,,1289,,,1655,,,
TravelTime,33,,,,,,,,,21.7,,,23.5,,,,22.0,,,28.2,,,
Right Channeled,33,,,,,,,,,,1,,,1,,,,0,,,0,,
Right Radius,33,,,,,,,,,,75,,,75,,,,,,,,,
Add Lanes,33,,,,,,,,,,0,,,0,,,,,,,,,
Alignment,33,,,,,,,,0,0,1,0,0,1,,0,0,1,0,0,1,,
Enter Blocked,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
HeadwayFact,33,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,33,,,,,,,,15,60,9,15,60,9,,15,60,9,15,60,9,,
FirstDetect,33,,,,,,,,50,50,0,50,50,0,,50,50,50,50,50,50,,
LastDetect,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
DetectPhase1,33,,,,,,,,5,2,2,1,6,6,,3,8,1,7,4,4,,
DetectPhase2,33,,,,,,,,0,0,0,0,0,0,,0,9,9,0,0,0,,
DetectPhase3,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
DetectPhase4,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
SwitchPhase,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
numDetects,33,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,1,,
DetectPos1,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
DetectSize1,33,,,,,,,,50,50,0,50,50,0,,50,50,50,50,50,50,,
DetectType1,33,,,,,,,,3,3,3,3,3,3,,3,3,3,3,3,3,,
DetectExtend1,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
DetectQueue1,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
DetectDelay1,33,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,
Exit Lanes,33,,,,,,,,,0,,,0,,,,0,,,0,,,
CBD,33,,,,,,,,,,,,,,,,0,,,,,,
Lane Group Flow,33,,,,,,,,87,353,14,222,722,111,,31,181,89,87,413,192,,
